water_id,user_id,liters,date
146,1,1.6,2026-01-28
147,79,1.4,2026-01-31
148,18,3.3,2026-03-10
149,62,2.3,2026-02-17
150,15,3.5,2026-01-22
151,23,1.4,2026-02-27
152,29,3.5,2026-01-24
153,77,1.8,2026-01-08
154,10,2.4,2026-01-15
155,79,2.8,2026-02-21
156,20,3.4,2026-03-04
157,84,2.2,2026-03-03
158,80,3.2,2026-01-03
159,91,2.9,2026-02-13
160,40,1.8,2026-02-19
161,90,2.5,2026-02-13
162,68,0.6,2026-02-28
163,41,1.2,2026-02-04
164,6,2.2,2026-01-06
165,69,1.3,2026-01-14
166,49,2.3,2026-02-19
167,43,0.7,2026-02-22
168,69,2.9,2026-02-10
169,47,0.6,2026-02-21
170,13,0.8,2026-02-21
171,96,0.6,2026-02-02
172,83,3.5,2026-02-18
173,58,1.2,2026-02-17
174,15,0.6,2026-01-11
175,70,1.2,2026-01-13
176,86,1.5,2026-01-27
177,92,0.8,2026-03-05
178,35,3.3,2026-01-15
179,11,0.7,2026-02-20
180,95,0.7,2026-01-10
181,15,1.8,2026-02-03
182,60,0.6,2026-02-27
183,34,1.3,2026-01-28
184,23,3.2,2026-02-19
185,7,2.0,2026-02-16
186,5,3.0,2026-01-07
187,25,0.7,2026-01-04
188,83,2.1,2026-02-13
189,7,2.8,2026-01-28
190,96,1.9,2026-03-02
191,28,3.3,2026-01-19
192,93,3.3,2026-01-12
193,52,0.6,2026-02-09
194,19,2.8,2026-01-03
195,38,2.5,2026-02-28
196,52,2.0,2026-01-27
197,35,3.1,2026-02-26
198,11,1.5,2026-02-08
199,100,2.8,2026-01-03
200,17,2.2,2026-02-24
201,42,0.7,2026-03-03
202,100,0.5,2026-01-17
203,66,0.6,2026-02-14
204,77,2.9,2026-02-05
205,31,2.4,2026-02-19
206,39,1.2,2026-01-23
207,42,3.2,2026-02-23
208,39,2.2,2026-02-27
209,64,0.7,2026-01-01
210,89,1.1,2026-02-06
211,62,1.5,2026-02-15
212,46,1.5,2026-02-22
213,11,3.4,2026-01-01
214,9,1.4,2026-01-24
215,84,0.8,2026-01-29
216,25,1.8,2026-03-03
217,38,3.2,2026-02-25
218,87,1.7,2026-02-26
219,49,3.1,2026-02-04
220,39,1.6,2026-03-01
221,85,3.1,2026-02-19
222,93,1.8,2026-02-12
223,69,0.6,2026-01-08
224,73,3.2,2026-02-21
225,96,2.9,2026-02-16
226,71,2.2,2026-02-24
227,77,3.1,2026-02-13
228,65,2.9,2026-02-21
229,16,1.9,2026-03-10
230,9,1.2,2026-02-05
231,51,2.3,2026-02-06
232,30,2.9,2026-02-05
233,87,2.2,2026-01-23
234,19,1.6,2026-03-04
235,98,1.9,2026-03-03
236,68,0.9,2026-01-21
237,81,0.8,2026-02-09
238,23,2.6,2026-02-26
239,27,2.8,2026-02-01
240,84,0.9,2026-03-02
241,53,3.2,2026-03-04
242,59,2.9,2026-02-24
243,75,2.0,2026-02-01
244,63,3.3,2026-01-31
245,33,1.3,2026-01-31
246,79,2.7,2026-02-15
247,36,2.7,2026-02-17
248,64,1.5,2026-01-24
249,21,2.9,2026-01-14
250,31,0.9,2026-02-20
251,6,3.3,2026-02-09
252,24,1.3,2026-01-21
253,55,0.6,2026-02-12
254,85,2.1,2026-02-25
255,61,2.6,2026-01-13
256,45,1.8,2026-02-07
257,25,0.9,2026-01-11
258,16,0.6,2026-01-30
259,17,2.1,2026-03-03
260,65,2.7,2026-02-18
261,61,2.5,2026-01-11
262,36,3.3,2026-01-29
263,51,2.4,2026-01-04
264,11,3.0,2026-02-12
265,11,2.2,2026-01-05
266,97,2.6,2026-01-23
267,42,2.2,2026-03-09
268,11,1.5,2026-02-06
269,53,1.2,2026-02-15
270,84,2.9,2026-03-10
271,72,2.2,2026-01-29
272,2,1.7,2026-02-12
273,47,1.3,2026-01-22
274,5,2.1,2026-02-26
275,39,2.1,2026-03-01
276,79,2.5,2026-01-08
277,7,2.8,2026-01-01
278,96,0.7,2026-02-11
279,33,2.4,2026-02-15
280,61,3.3,2026-01-29
281,1,0.5,2026-03-09
282,78,3.0,2026-01-17
283,47,1.1,2026-02-06
284,16,2.6,2026-02-15
285,65,3.0,2026-01-21
286,30,3.5,2026-01-23
287,44,0.9,2026-03-04
288,28,0.8,2026-03-04
289,68,0.8,2026-01-15
290,14,2.8,2026-02-05
291,81,2.0,2026-01-26
292,69,1.1,2026-02-12
293,26,1.7,2026-02-12
294,65,3.1,2026-01-02
295,42,3.0,2026-02-07
296,45,2.0,2026-01-11
297,62,2.9,2026-01-29
298,97,1.3,2026-01-17
299,61,2.8,2026-02-13
300,29,0.7,2026-02-13
